uzemi_kod,MUZI,ZENY,VEK0_14,VEK15_64,VEK65,VZDELANI_BEZ,VZDELANI_ZAKLAD,VZDELANI_STR_BEZ,VZDELANI_STR_S,VZDELANI_VOS,VZDELANI_VYSOKO,ROMOVE,VERICI,ZAMESTNANCI,ZAMESTNAVATELE,PODNIKATELE,NEZAMEST,PRAC_DUCH,NEPRAC_DUCH
500011,50.027518,49.972482,13.208586,63.731425,23.059989,0.570704,12.492074,34.242232,31.008244,1.521877,16.423589,0.0,39.570721,73.420261,2.106319,16.048144,2.407222,6.604293,23.775454
500020,49.539749,50.460251,14.979079,61.25523,23.76569,0.885827,17.027559,40.15748,28.444882,1.574803,8.562992,0.502092,22.426778,75.340136,1.530612,12.414966,3.231293,4.769874,28.117155
500046,50.32372,49.67628,18.069453,61.212478,20.718069,0.359195,10.560345,39.152299,30.818966,1.508621,14.367816,0.0,26.015303,78.613396,1.175088,12.808461,2.585194,4.002354,23.602119
500062,50.049505,49.950495,16.881188,63.415842,19.70297,0.238237,12.388326,32.757594,33.710542,0.83383,16.497915,0.0,32.920792,72.967864,2.079395,14.839319,3.119093,4.207921,21.287129
500071,50.990676,49.009324,15.32634,63.869464,20.804196,0.412939,11.0117,34.067447,36.476256,0.894701,14.246387,0.0,29.778555,74.200662,1.653804,12.458655,3.638368,4.545455,22.494172
500101,54.245283,45.754717,19.339623,66.981132,13.679245,2.339181,32.748538,38.011696,15.789474,0.584795,2.923977,0.0,10.849057,70.247934,0.0,7.438017,9.917355,8.018868,14.150943
500127,58.503401,41.496599,19.727891,63.945578,16.326531,1.694915,15.254237,42.372881,22.033898,0.847458,8.474576,0.0,10.884354,75.641026,0.0,14.102564,5.128205,3.401361,18.367347
500135,50.909091,49.090909,10.454545,70.909091,18.636364,1.015228,19.796954,46.192893,20.304569,0.507614,8.121827,0.0,13.636364,75.0,0.0,6.617647,5.147059,4.545455,20.0
500151,54.285714,45.714286,13.333333,64.761905,21.904762,2.197802,17.582418,38.461538,29.67033,0.0,9.89011,0.0,22.857143,82.8125,0.0,7.8125,1.5625,14.285714,20.0
500160,52.551985,47.448015,15.311909,69.565217,15.122873,0.892857,17.633929,39.0625,25.669643,0.223214,8.258929,0.0,13.799622,74.098361,0.0,7.213115,6.885246,4.536862,15.311909
500194,53.535354,46.464646,20.707071,67.676768,11.616162,1.910828,28.025478,36.305732,14.012739,1.273885,3.821656,0.0,17.171717,69.230769,0.961538,4.807692,13.461538,6.565657,10.606061
500259,49.529781,50.470219,16.30094,63.427377,20.271682,0.749064,11.360799,38.077403,31.02372,1.435705,14.107366,0.0,39.811912,79.102956,1.019368,11.926606,2.650357,3.970742,22.884013
500291,50.054925,49.945075,15.305749,62.68766,22.006591,0.345871,11.54345,26.070039,30.652832,0.99438,27.41029,0.036617,28.670817,74.537696,1.778094,12.162162,3.200569,5.565727,23.434639
500496,47.807435,52.192565,15.778358,64.473945,19.747697,0.436593,10.118888,23.092423,33.076975,1.66913,26.936683,0.165939,23.825462,73.005616,1.014255,11.250108,4.803456,5.310052,19.940978
500526,51.07882,48.92118,19.066491,62.703655,18.229855,0.326442,12.513602,36.670294,31.066376,0.707291,14.417845,0.088067,21.136063,73.850085,1.022147,16.183986,2.555366,3.478644,20.299428
500623,51.356239,48.643761,15.732369,63.200723,21.066908,0.536481,14.270386,40.450644,28.862661,1.716738,10.300429,0.0,26.401447,78.108581,1.050788,10.33275,4.728546,4.159132,23.23689
500801,51.313756,48.686244,17.619784,63.833076,18.547141,0.0,11.257036,38.836773,29.643527,1.688555,12.570356,0.0,24.265842,74.631268,1.179941,15.634218,2.654867,4.482226,19.938176
500852,49.89509,50.10491,15.107008,63.911037,20.981956,0.593178,12.160158,31.438458,32.970835,1.680672,17.647059,0.0,25.681914,76.489028,1.018809,11.677116,3.291536,5.161561,22.114981
500861,50.596491,49.403509,13.964912,63.438596,22.596491,0.326264,13.376835,39.477977,27.243067,0.570962,14.600326,0.0,27.719298,76.0,2.133333,10.266667,4.533333,5.403509,24.842105
500879,50.356295,49.643705,20.427553,62.351544,17.220903,0.895522,12.686567,34.029851,29.402985,1.791045,16.716418,0.0,21.021378,74.318182,1.818182,14.545455,2.727273,4.038005,18.646081
