"prediktor","prumer","median","sd","min","max"
"VEK0_14",16.71,16.62,3.2,1.61,34.71
"VEK15_64",62.82,62.97,3.77,27.4,92.47
"VEK65",20.47,20.23,4.6,3.63,68.33
"VZDELANI_BEZ",0.65,0.43,1.27,0,37.67
"VZDELANI_ZAKLAD",13.74,13.22,3.71,2.78,44
"VZDELANI_STR_BEZ",38.38,38.77,6.47,9.8,63.83
"VZDELANI_STR_S",28.92,29.33,4.92,2.89,61.04
"VZDELANI_VOS",1.4,1.32,0.86,0,7.55
"VZDELANI_VYSOKO",11.72,10.92,5.21,0,40.91
"ROMOVE",0.09,0,0.38,0,10.5
"VERICI",23.84,20.62,13.39,1.39,83.73
"ZAMESTNANCI",72.81,73.57,6.49,20.88,95.45
"ZAMESTNAVATELE",1.07,0.98,0.93,0,13.04
"PODNIKATELE",13.68,13.14,4.41,0,45.45
"NEZAMEST",4.32,3.86,2.66,0,34.67
"PRAC_DUCH",5.23,5.1,1.7,0,18.37
"NEPRAC_DUCH",22.8,22.59,5.26,4.75,73.67
